Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Moon,Harvest:SOCI-1311-006-INTRO TO SOCIO"	Mean	4.4255	4.1702	4.3617	4.617	4.3617	4.4255
	N	47	47	47	47	47	47
"Moon,Harvest:SOCI-2312-001-SOCIAL ISSUES"	Mean	4.186	4.093	4.4651	4.5349	4.1628	4.2381
	N	43	43	43	43	43	42
"Moon,Harvest:SOCI-3324-001-SOCIAL MOVEMENTS"	Mean	3.6	3.48	4.16	3.88	4.04	3.44
	N	25	25	25	25	25	25
"Moon,Hyejin:MAE-3314-001-HEAT TRANSFER"	Mean	4.2564	3.9744	4.1026	4.5	4.4737	4.2821
	N	39	39	39	38	38	39
"Moon,Jhang:POLS-2311-006-GOVT OF U S"	Mean	4.0952	3.7619	3.619	4.4286	3.7619	3.381
	N	21	21	21	21	21	21
"Moon,Jhang:POLS-3318-001-POL SYS E ASIA"	Mean	4.4444	4.4118	4.4444	4.6667	3.8889	4.3889
	N	18	17	18	18	18	18
"Moon,Jhang:POLS-5331-001-POLITICAL SYSTEMS OF EAST ASIA"	Mean	3.75	4.2667	4.4	4.6	4.3333	4.3571
	N	12	15	15	15	15	14
"Moon,Sung:SOCW-5306-002-GENERALIST MACRO PRACTICE"	Mean	2.8125	3	3.8125	3.8	3.0625	2.875
	N	16	16	16	15	16	16
"Moon,Sung:SOCW-6324-003-RESEARCH AND EVALUATION II"	Mean	2.2727	2.9545	3.3333	3.8095	3.4091	2.1818
	N	22	22	21	21	22	22
"Moore,Jeffrey:FINA-4311-001-MONEY AND CAPITAL MARKETS"	Mean	4.7187	4.5484	4.4688	4.75	4.6563	4.8065
	N	32	31	32	32	32	31
"Moore,Michael:POLS-2311-012-GOVT OF U S"	Mean	4.1429	4.2857	4	4.2143	3.9286	4.1429
	N	14	14	14	14	14	14
"Moore,Michael:POLS-2311-500-GOVT OF U S"	Mean	4.4474	4.3947	4.2895	4.4595	4.1053	4.3243
	N	38	38	38	37	38	37
"Moore,Michael:POLS-2311-701-GOVT OF U S"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Moore,Michael:POLS-2311-702-GOVT OF U S"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Moore,Michael:POLS-2311-703-GOVT OF U S"	Mean	4.3333	4	3.3333	4.3333	3	3
	N	3	3	3	3	3	3
"Mora,Pablo:PSYC-3313-001-PSYC CULTURAL GENDER DIVERSITY"	Mean	4.1842	4.2381	4.5238	4.5476	4.3902	4.2143
	N	38	42	42	42	41	42
"Morgan,Lael:JOUR-1345-008-WRITING FOR MASS MEDIA"	Mean	2.25	3	3.75	3.25	3.75	2.25
	N	4	4	4	4	4	4
"Morris,Christopher:HIST-3355-001-US ENVIRONMENTAL HISTORY"	Mean	4.35	4.1	4.3	4.5	4.2	4.2
	N	20	20	20	20	20	20
"Morris,Christopher:HIST-5304-001-REGIONAL / TOPICAL US HISTORY"	Mean	4.4667	4.3125	4.5625	4.5	4.375	4.625
	N	15	16	16	16	16	16
"Morris,Lidia:BEEP-4687-002-RESIDENCY IN EC-6 BILING CLSRM"	Mean	4.2222	4.3333	4.3333	4.3333	4.5556	4.4444
	N	9	9	9	9	9	9
"Morris,Timothy:HONR-LA-1302-001-HONORS COMPOSITION"	Mean	4.5	4.75	5	4.5	4.75	5
	N	4	4	4	4	4	4
"Morrow,Elizabeth:MUSI-0126-003-STRING QUARTET"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Morrow,Elizabeth:MUSI-0126-008-STRING QUARTET"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Morrow,Elizabeth:MUSI-1245-003-PRIVATE LESSONS IN STRINGS"	Mean	5	5		5	5	5
	N	1	1		1	1	1
"Morrow,Elizabeth:MUSI-2245-003-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Morrow,Elizabeth:MUSI-2301-001-MUSIC IN FILM"	Mean	4.5873	4.5246	4.3385	4.5082	4.4062	4.5156
	N	63	61	65	61	64	64
"Morrow,Elizabeth:MUSI-3239-010-INSTRUCTION SECOND INSTRUMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Morrow,Elizabeth:MUSI-3245-003-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Morrow,Elizabeth:MUSI-5227-001-PRIVATE LESSONS IN CELLO"	Mean	4	2	5	4	4	4
	N	1	1	1	1	1	1
"Morrow,Elizabeth:MUSI-5327-001-PRIVATE LESSONS IN CELLO"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Mosby,David:MANA-3319-003-MGT PROCESS THR"	Mean	3.6042	3.1875	3.875	3.2917	4.0208	3.25
	N	48	48	48	48	48	48
"Mosby,David:MANA-3325-001-ENTREPRENEUR I"	Mean	4.1429	4.0571	4.4	4.3143	4.3529	4.1429
	N	35	35	35	35	34	35
"Mosby,David:MANA-3325-002-ENTREPRENEUR I"	Mean	4.2353	4.2353	4.2353	4.375	4.3125	4.3125
	N	17	17	17	16	16	16
"Mosby,David:MANA-4321-002-INTERNATIONAL MANAGEMENT"	Mean	3.8889	3.3429	4.1143	3.7059	4.3056	3.8056
	N	36	35	35	34	36	36
"Mueller,Mark:ART-1306-002-THREE-DIMENSIONAL DESIGN"	Mean	4.8333	4.75	4.8333	4.8333	4.75	4.9167
	N	12	12	12	12	12	12
"Mueller,Mark:ART-1306-003-THREE-DIMENSIONAL DESIGN"	Mean	4.7	4.7	4.9	4.7	4.7	4.7
	N	10	10	10	10	10	10
"Mueller,Mark:ART-1306-005-THREE-DIMENSIONAL DESIGN"	Mean	4.7	4.7	4.8	5	4.7	4.8889
	N	10	10	10	10	10	9
"Mulholland,Brian:MUSI-0122-002-JAZZ COMBO"	Mean	4.8333	4.8571	4.7143	4.8333	4.7143	4.8571
	N	6	7	7	6	7	7
"Mulholland,Brian:MUSI-1252-001-PRIVATE LESSONS IN JAZZ BASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Mulholland,Brian:MUSI-2252-001-PRIVATE LESSONS IN JAZZ BASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Mulholland,Brian:MUSI-2253-001-PRIVATE LESSONS IN JAZZ BASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Mulholland,Brian:MUSI-4323-001-BUSINESS MUSIC"	Mean	4	3.6522	4.087	4.3333	4.2917	4.1667
	N	23	23	23	24	24	24
"Mullin,Christopher:EDAD-6325-001-K-16 FINANCE POLICY RESEARCH"	Mean	3.5	2.8333	4.3333	4.1667	4	3.6667
	N	6	6	6	6	6	6
"Munoz,Ava:EDAD-5305-003-CURRICULUM DESIGN"	Mean	4.75	5	5	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Munoz,Ava:EDAD-5382-011-FOUNDATIONS OF EDUC ADMIN"	Mean	4.6667	4.6667	4.6667	4.6667	4.3333	4.6667
	N	6	6	6	6	6	6
"Munoz,Ava:EDAD-5399-003-CAPSTONE INTERN EDUC LDRSHP"	Mean	4.1667	4.3333	4.8333	4.3333	4.5	4.6667
	N	6	6	6	6	6	6
"Murch,Kevin:PSYC-3308-001-FORENSIC PSYCHOLOGY"	Mean	4.5278	4.6	4.4571	4.6111	4.5278	4.75
	N	36	35	35	36	36	36
"Murillo,Michelle:ART-3343-001-PRINTMAKING"	Mean	4.4706	4.25	4.2353	4.6471	4.2353	4.4118
	N	17	16	17	17	17	17
"Murillo,Michelle:ART-3343-002-PRINTMAKING"	Mean	4.4375	4.25	4.4375	4.5625	4.5625	4.625
	N	16	16	16	16	16	16
"Murillo,Michelle:ART-3348-001-LIFE DRAWING"	Mean	4.2308	4.1538	4.0833	4.3077	4.3846	4.1538
	N	13	13	12	13	13	13
"Murillo,Michelle:ART-5347-001-RESEARCH IN DRAWING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Musgrove,Kristie:ENGL-1301-014-EXPOS WRITING"	Mean	3.7143	3.7857	4.5	4.3571	4.3571	3.9286
	N	14	14	14	14	14	14
"Musgrove,Kristie:ENGL-1301-016-EXPOS WRITING"	Mean	4.75	4.1875	4.9375	4.9375	4.875	4.4375
	N	16	16	16	16	16	16
"Musgrove,Kristie:ENGL-1301-020-EXPOS WRITING"	Mean	4.5	3.9167	4.5	4.4167	4.5	4.1667
	N	12	12	12	12	12	12
"Musgrove,Kristie:ENGL-1302-027-CRITICAL THINK, READ, WRITE"	Mean	4.6111	4.2778	4.6667	4.8333	4.5	4.3889
	N	18	18	18	18	18	18
"Musgrove,Kristie:ENGL-1302-060-CRITICAL THINK, READ, WRITE"	Mean	4.7857	4.6429	4.7143	4.7857	4.6429	4.2143
	N	14	14	14	14	14	14
"Musielak,Dora:PHYS-1443-003-GENERAL TECHNICAL PHYSICS I"	Mean	4.3077	4.2308	4.6154	4.4615	4.6154	4.2308
	N	13	13	13	13	13	13
"Musielak,Zdzislaw:PHYS-5306-001-CLASSICAL MECH"	Mean	4.4737	4.3333	4.3684	4.6316	4.5789	4.5789
	N	19	18	19	19	19	19
"Muttiah,Ranjan:CE-5357-001-HYDROLOGIC TECHNIQUES"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4.3333
	N	3	3	3	3	3	3
"Muttiah,Ranjan:CE-5357-002-HYDROLOGIC TECHNIQUES"	Mean	4	4.3333	4.6667	4.3333	4.6667	4.6667
	N	3	3	3	3	3	3
"Mydlarz,Laura:BIOL-5101-003-SPECIAL TOPICS IN BIOLOGY"	Mean	3.5714	3.5714	3.5714	3.5714	3.7143	3.7143
	N	7	7	7	7	7	7
"Nafari,Manizheh:MATH-1316-002-MATH ECON & BUS ANLYS"	Mean	4.4444	4.2222	4.4444	4.6667	4.4444	4
	N	9	9	9	9	9	9
"Najafi,Mohammad:CE-4332-001-CONSTRUCTION EQUIP/METHODS/MGT"	Mean	4.1667	3.3333	3.8333	4.3333	4.1667	4.1667
	N	6	6	6	6	6	6
"Najafi,Mohammad:CE-5344-001-CONSTRUCTION METHODS FIELD OPS"	Mean	4	4.0455	4.2857	4.1364	4.7143	4.2727
	N	22	22	21	22	21	22
"Napier,Randall:OPMA-3306-004-OPERATIONS MANAGEMENT"	Mean	4.6053	4.1316	4.1282	4.4872	4.4615	4.4872
	N	38	38	39	39	39	39
"Napier,Randall:OPMA-3306-005-OPERATIONS MANAGEMENT"	Mean	4.1875	3.9091	3.9697	4.2727	4.1212	4
	N	32	33	33	33	33	33
"Narrett,David:HIST-1311-005-HISTORY OF U.S."	Mean	3.8793	3.6842	3.7586	4.3793	4	3.8966
	N	58	57	58	58	57	58
"Narrett,David:HIST-1311-008-HISTORY OF U.S."	Mean	4.0889	3.6889	3.8222	4.4222	4.0889	3.7556
	N	45	45	45	45	45	45
"Narrett,David:HIST-3322-001-AM RVLUTN & CONSTITUTION"	Mean	4.4545	4.2273	4.3182	4.6364	4.3182	4.4091
	N	22	22	22	22	22	22
"Navalinsky,David:THEA-0181-001-THEATRE PRACTICUM"	Mean	4.4	4.6364	4.6	4.7	4.5	4.8182
	N	10	11	10	10	10	11
"Navalinsky,David:THEA-3304-001-STAGECRAFT II"	Mean	3.7647	3.8824	4.0588	4.2941	4.4706	4.0588
	N	17	17	17	17	17	17
"Nead,Susan:COMS-2304-001-GROUP COMM PRINCIPLES"	Mean	4.4783	4.3913	4.3478	4.4783	4.6818	4.6087
	N	23	23	23	23	22	23
"Nead,Susan:COMS-2304-002-GROUP COMM PRINCIPLES"	Mean	4.2917	4.25	4.4583	4.25	4.087	4.4783
	N	24	24	24	24	23	23
"Nead,Susan:COMS-3302-009-PROF & TECH COMM"	Mean	4.2	4.05	4.2	4.05	4.3158	4.1053
	N	20	20	20	20	19	19
"Nead,Susan:COMS-3302-013-PROF & TECH COMM"	Mean	4.4286	4.5238	4.619	4.5714	4.3333	4.619
	N	21	21	21	21	21	21
"Neill,Robert:BIOL-1442-001-STRUC & FUNC OF ORGANISMS"	Mean	4.6	4.3333	4.4	4.8667	4.5333	4.6
	N	15	15	15	15	15	15
"Neill,Robert:BIOL-3310-001-SELECTED TOPICS"	Mean	4.6279	4.5227	4.5455	4.75	4.5116	4.3864
	N	43	44	44	44	43	44
"Neilson,Rebecca:LSHP-4311-001-LEADER AS COMMUNICATOR (2102-22620)"	Mean	4.6087	4.4783	4.6522	4.9545	4.7826	4.6087
	N	23	23	23	22	23	23
"Nelson,Edward:ARCH-3331-001-ARCHITECTURE & ENVIRONMENT"	Mean	4.0652	3.766	3.6136	4.2391	3.7674	3.5682
	N	46	47	44	46	43	44
"Nelson,Edward:ARCH-5395-012-TOPICS IN ARCHITECTURE"	Mean	4	4.1667	3.8333	3.8333	3.8333	4
	N	6	6	6	6	6	6
"Nelson,Larry:KINE-4320-001-TEACHING SECONDARY PHYS EDUC"	Mean	4.7727	4.6818	4.7391	4.6957	4.7826	4.8261
	N	22	22	23	23	23	23
"Nelson,Matthew:BIOL-1442-004-STRUC & FUNC OF ORGANISMS"	Mean	3.875	3.6875	4	4.5313	4.129	3.5333
	N	32	32	32	32	31	30
"Nelson,Matthew:BIOL-1450-001-COMPUTER LITERACY IN BIOLOGY"	Mean	3.9167	3.5833	3.6667	4.5	4.25	3.0909
	N	12	12	12	12	12	11
"Nelson,Matthew:BIOL-3454-001-GENERAL ZOOLOGY"	Mean	4.037	3.9878	3.8537	4.5	4.1341	3.9
	N	81	82	82	82	82	80
"Nerur,Sridhar:INSY-3305-001-INFO SYS ANALYSIS & DESIGN"	Mean	4.6667	4.7619	4.8571	4.9048	4.8571	4.8
	N	21	21	21	21	21	20
"Nestell,Merlynd:GEOL 1425-002"	Mean	3.5185	3.1852	3.963	4.3704	4.0741	3.3704
	N	27	27	27	27	27	27
"Nestell,Merlynd:MATH 4324-001"	Mean	4.2778	3.8421	4.2632	4.5556	4.5263	3.9474
	N	18	19	19	18	19	19
"Newcomb,Patricia:NURS-6304-014-MEASURE DIVERSE/VULNERABLE"	Mean	2.3333	2.6667	3.7778	3.5556	4.125	3.2222
	N	9	9	9	9	8	9
"Nguyen,Kytai:BE-5373-004-DRUG DELIVERY LAB"	Mean	4.2857	4.3333	4.7143	4.4286	4.5714	4.6667
	N	7	6	7	7	7	6
"Nibbs,Faith:ANTH-3330-001-CULT DIVERSITY"	Mean	4.6098	4.5366	4.5366	4.6098	4.3846	4.4634
	N	41	41	41	41	39	41
"Nisttahuz,Jaime:SPAN-3304-042-SPANISH HERITAGE SPEAKERS I"	Mean	4.8462	4.75	4.8846	4.8846	4.7308	4.8846
	N	26	24	26	26	26	26
"Nisttahuz,Jaime:SPAN-3305-042-SPANISH HERITAGE SPEAKERS II"	Mean	4.9048	4.9048	4.9048	4.8571	4.7143	4.8571
	N	21	21	21	21	21	21
"Nomura,Seiichi:AE-5352-001-ENGINEERING ANALYSIS"	Mean	4.381	4.2381	3.9048	4.5238	4.4762	4.4286
	N	21	21	21	21	21	21
"Nomura,Seiichi:AE-5352-002-ENGINEERING ANALYSIS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Nomura,Seiichi:MAE-2360-001-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4.3929	4.3929	4.4231	4.4643	4.5	4.5714
	N	28	28	26	28	28	28
"Nordtvedt,Liliana:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	4.2571	4.1714	4.4571	4.5714	4.4412	4.4286
	N	35	35	35	35	34	35
"Nordtvedt,Liliana:MANA-4322-004-ORGANIZATIONAL STRATEGY"	Mean	4.2286	3.8857	4.2286	4.4	4.1515	4.3824
	N	35	35	35	35	33	34
"Norris,Susanne:GERM-1442-001-BEGINNING GERMAN II"	Mean	4.75	4.7778	4.6667	4.7778	4.5556	5
	N	8	9	9	9	9	9
"Norris,Susanne:GERM-1442-003-BEGINNING GERMAN II"	Mean	4.8	4.4	4.6	4.6	4.8	4.8
	N	5	5	5	5	5	5
"North,Kenda:ART-3360-002-INTERMEDIATE PHOTOGRAPHY"	Mean	4.6364	4.6364	4.6364	4.7273	4.8182	4.7273
	N	11	11	11	11	11	11
"North,Kenda:ART-4359-001-ADV PHOTOGRAPHY"	Mean	3.875	4.1875	4.1875	4.5333	4.5625	4.4375
	N	16	16	16	15	16	16
"North,Kenda:ART-4360-001-COLOR PHOTOGRAPHY"	Mean	4.8182	4.8182	4.7	4.9091	4.8182	4.9091
	N	11	11	10	11	11	11
"Noyes,Barbara:ENGL-1302-034-CRITICAL THINK, READ, WRITE"	Mean	4.9	4.8	4.8	4.9	4.85	4.9
	N	20	20	20	20	20	20
"Noyes,Barbara:ENGL-1302-043-CRITICAL THINK, READ, WRITE"	Mean	5	4.8947	4.9474	4.8947	4.9474	4.9474
	N	19	19	19	19	19	19
"Nussbaum,Charles:PHIL-3304-001-19TH CENT PHIL"	Mean	4.6111	4.3333	4.4444	4.7647	4.6111	4.4444
	N	18	18	18	17	18	18
"Nussbaum,Charles:PHIL-4385-001-THEORY OF KNOWLEDGE"	Mean	4.5	4.0909	4.1	4.8182	4.6	4.4545
	N	10	11	10	11	10	11
"Nystrom,Nathaniel:CSE-3302-001-PROGRAMMING LANGUAGES"	Mean	4.1667	4.1111	4.1111	4.5	4.5	4.2632
	N	18	18	18	18	18	19
"Nystrom,Nathaniel:CSE-5317-001-DSGN & CONSTRUC OF COMPILERS"	Mean	3.7273	3.1818	3.5455	3.5455	4.8182	3.6364
	N	11	11	11	11	11	11
"O'Brien,Christopher:CHEM-5312-001-ADVANCED ORGANIC SYNTHESIS"	Mean	4.5	4.25	4.75	5	5	4
	N	4	4	4	4	4	4
"O'Dell,James:CSE-4316-001-COMPUTER SYS DESIGN PROJECT I"	Mean	4.6667	4.6	4.6667	4.7333	4.7333	4.6667
	N	15	15	15	15	15	15
"O'Dell,James:CSE-4317-001-COMPUTER SYS DESIGN PROJECT II"	Mean	4.7727	4.6818	4.8182	4.8636	4.7727	4.8636
	N	22	22	22	22	22	22
"Odegard,Timothy:PSYC-4332-001-HUMAN LEARNING/MEMORY"	Mean	4.625	4.6	4.6875	4.75	4.75	4.6875
	N	16	15	16	16	16	16
"Olmedo,Kim:SOCW-6318-001-DIRECT PRACTICE WITH AGING"	Mean	4.5	4.6429	4.5714	4.5	4.5714	4.6429
	N	14	14	14	14	14	14
"Olson,Terry:KINE-4319-001-INTEGRATION OF FITNESS PRCPLS"	Mean	4.6071	4.5517	4.5862	4.6552	4.4483	4.3929
	N	28	29	29	29	29	28
"Olson,Terry:KINE-4321-001-TEACHING ELEM PHYSICAL ED"	Mean	4.6111	4.7222	4.7222	4.7778	4.6667	4.6667
	N	18	18	18	18	18	18
"Olson,Terry:KINE-4647-001-TEACHER PREPARATION RESIDENCY"	Mean	4.5	4.625	4.6875	4.8125	4.8125	4.8125
	N	16	16	16	16	16	16
"Omana,Jennifer:SPAN-2314-003-INTERMEDIATE SPANISH II"	Mean	4.5625	4.6667	4.7778	4.8333	4.7778	4.9444
	N	16	15	18	18	18	18
"Omana,Jennifer:SPAN-2314-005-INTERMEDIATE SPANISH II"	Mean	4.85	4.7895	4.8421	4.7895	4.7	4.95
	N	20	19	19	19	20	20
"Oraintara,Soontorn:EE-3318-001-DISCRETE SIGNALS AND SYSTEMS"	Mean	4.25	4.1	4.45	4.45	4.25	4.2
	N	20	20	20	20	20	20
"Oraintara,Soontorn:EE-5354-001-WAVELETS AND FILTER BANKS"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.8333
	N	6	6	6	6	6	6
"Ortiz,Andrew:ART-3352-001-DIGITAL IMAGING"	Mean	4.0769	3.9231	4.3077	4.1538	4.4615	4.2308
	N	13	13	13	13	13	13
"Ortiz,Andrew:ART-3352-002-DIGITAL IMAGING"	Mean	3.8	3.4545	4	3.4545	4.2727	3.9091
	N	10	11	10	11	11	11
"Ortiz,Andrew:ART-5359-002-RES PHOTO DIGITAL IMAGING"	Mean	3	4	5	3	4	4
	N	1	1	1	1	1	1
"Ortiz,Catherine:SPAN-1441-001-BEGINNING SPANISH I"	Mean	4.7	4.7778	4.7778	4.9	4.6	4.8
	N	10	9	9	10	10	10
"Ortiz,Catherine:SPAN-1441-005-BEGINNING SPANISH I"	Mean	4.5294	4.3889	4.4	4.6	4.45	4.4
	N	17	18	20	20	20	20
"Ortiz,Catherine:SPAN-1442-005-BEGINNING SPANISH II"	Mean	4.1667	3.8421	4.1053	4.05	4.25	3.7619
	N	18	19	19	20	20	21
"Ortiz,Catherine:SPAN-1442-007-BEGINNING SPANISH II"	Mean	4.4643	4.3462	4.4444	4.7778	4.6786	4.2692
	N	28	26	27	27	28	26
"Ortley,Lester:INTD-3345-001-INTERIOR DESIGN COMM IV"	Mean	3.5	3.25	3.6667	3.5	3.5	3
	N	4	4	3	4	4	4
"Ortley,Lester:INTD-4563-002-DESIGN STUDIO: INTR DSGN IV"	Mean	2.375	2	2.75	2	2.125	1.625
	N	8	8	8	8	8	8
"Ozdil,Taner:LARC-5321-001-ADVANCED COMMUNICATIONS"	Mean	4.5714	4.25	4.75	4.625	4.875	4.75
	N	7	8	8	8	8	8
"Ozdil,Taner:LARC-5664-001-DESIGN STUDIO 4: ENVRN PLAN"	Mean	4.25	4.75	4.75	4.75	4.875	4.625
	N	8	8	8	8	8	8
"Padorr-Black,Nancy:ENGL-2309-007-WORLD LIT"	Mean	4.8462	4.7857	4.5714	4.6429	4.7143	4.8462
	N	13	14	14	14	14	13
"Padorr-Black,Nancy:ENGL-2309-009-WORLD LIT"	Mean	4.64	4.64	4.6	4.76	4.76	4.76
	N	25	25	25	25	25	25
"Padorr-Black,Nancy:ENGL-2309-010-WORLD LIT"	Mean	4.8571	4.8571	4.9048	4.9	4.8571	4.9048
	N	21	21	21	20	21	21
"Pajak,Kevin:ENGL-1301-004-EXPOS WRITING"	Mean	4.8571	4.7143	5	4.8571	4.8571	4.8571
	N	7	7	7	7	7	7
"Pajak,Kevin:ENGL-1301-008-EXPOS WRITING"	Mean	4.2	4.3	4.8	4.6	4.6	3.8
	N	10	10	10	10	10	10
"Pajak,Kevin:ENGL-1302-003-CRITICAL THINK, READ, WRITE"	Mean	3.4667	3.3571	3.9286	3.6667	4.0714	3.4667
	N	15	14	14	15	14	15
"Pajak,Kevin:ENGL-1302-026-CRITICAL THINK, READ, WRITE"	Mean	3.7143	3.7857	4.5	4.2143	4.5	3.5714
	N	14	14	14	14	14	14
"Pajak,Kevin:ENGL-1302-058-CRITICAL THINK, READ, WRITE"	Mean	4	3.5714	4.375	3.625	4	3.8571
	N	8	7	8	8	8	7
"Palmer,Stanley:HIST-2314-001-HISTORY OF ENGLAND"	Mean	4.56	4.72	4.68	4.9167	4.36	4.84
	N	25	25	25	24	25	25
"Palmer,Stanley:HIST-4352-001-MODERN IRELAND"	Mean	4.6897	4.6207	4.6897	4.7931	4.6207	4.7586
	N	29	29	29	29	29	29
"Palmeri,Nancy:ART-4345-001-ADVANCED PRINTMAKING"	Mean	4.6471	4.7059	4.8824	4.7647	4.7647	4.9412
	N	17	17	17	17	17	17
"Palmeri,Nancy:ART-5000-001-SUPERVISED TEACHING STUDIO ART"	Mean	3.8889	4	4.3333	4.5	4.6667	4.7778
	N	9	9	9	8	9	9
"Palmeri,Nancy:ART-5343-001-RESEARCH IN PRINTMAKING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Pang,Shing:SOCW-3306-002-SW PRACTIC III"	Mean	3.3529	3.2353	3.625	4.1176	4.5294	3.1765
	N	17	17	16	17	17	17
"Pankavich,Stephen:MATH-5351-001-APPLIED MATHEMATICS II"	Mean	4.875	4.75	4.625	5	4.875	5
	N	8	8	8	8	8	8
"Panta,Hum:FINA-3313-001-BUSINESS FINANCE"	Mean	3.7895	3.2105	3.8421	3.5263	4.5263	3.2105
	N	19	19	19	19	19	19
"Panta,Hum:FINA-4315-001-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	3.9143	3.6857	4	4.0571	4.4	3.7429
	N	35	35	35	35	35	35
"Pantelis,Garry:MATH-2425-005-CALCULUS II"	Mean	4.0455	3.6957	4.2609	4.1739	4.0909	3.9048
	N	22	23	23	23	22	21
"Papanyan,Shushanik:ECON-5311-001-ECONOMIC ANALYSIS"	Mean	4.2128	4.0213	4.0213	3.9787	3.9348	3.9787
	N	47	47	47	47	46	47
"Papanyan,Shushanik:ECON-5319-001-THE GLOBAL ECONOMY"	Mean	4.3333	4.2857	4.5714	4.381	4.3333	4.3
	N	21	21	21	21	21	20
"Paris,Rodrigo:CRCJ-2334-003-INTRO CRJU SYS"	Mean	3.45	3	3.4545	3.3182	3.5714	3
	N	20	21	22	22	21	22
"Paris,Rodrigo:CRCJ-3300-002-THEORETICAL CR"	Mean	4.3571	4	4.4667	4.3333	4.3571	4
	N	14	14	15	15	14	15
"Park,Eunjin:LING-2371-001-LANGUAGE IN MULTICULTURAL USA"	Mean	3.9091	3.2727	4.0909	4.3636	4.4545	3.6364
	N	11	11	11	11	11	11
"Park,Heekyeong:PSYC-5313-001-HIGHER MENTAL PROCESSES"	Mean	4.3333	5	5	5	4.6667	4.6667
	N	3	3	3	3	3	3
"Patrick,Vicki:NURS-5314-001-INVASIVE PROCEDURES FOR APN"	Mean	4.7333	4.7333	4.6667	4.8667	4.6	4.7333
	N	15	15	15	15	15	15
"Patrick,Vicki:NURS-5390-001-TOPICS IN NURSING"	Mean	4.8	4.8	4.6	5	4.8	5
	N	5	5	5	5	5	5
"Patterson,John:CSE-2340-001-INTRODUCTION TO DIGITAL LOGIC"	Mean	4.5455	4.3636	4.4545	4.5455	4.2727	4.6364
	N	11	11	11	11	11	11
"Paulson,Darla:URPA-5351-001-PUBLIC HUMAN RESOURCES"	Mean	3.2857	3.4286	4	3.7143	4.1429	3.1429
	N	7	7	7	7	7	7
"Paulson,Darla:URPA-5367-001-STRATEGIC HUMAN RESOURCE MGMT"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	3
"Pearman,Dianne:ENGL-1301-022-EXPOS WRITING"	Mean	4	3.75	4.5	4.25	4	4.5
	N	8	8	8	8	8	8
"Pearman,Dianne:ENGL-1301-023-EXPOS WRITING"	Mean	4.1	3.6	4.2	3.5	3.8	3.9
	N	10	10	10	10	10	10
"Pearman,Dianne:ENGL-1301-703-EXPOS WRITING"	Mean	4	4	3	4	4	4
	N	1	1	1	1	1	1
"Pearman,Dianne:ENGL-1302-030-CRITICAL THINK, READ, WRITE"	Mean	4.25	4.1667	4.1818	4.4167	4.1667	4.4167
	N	12	12	11	12	12	12
"Pearman,Dianne:ENGL-1302-031-CRITICAL THINK, READ, WRITE"	Mean	4.2	4.3333	4.4	4.2143	4	4.4
	N	15	15	15	14	14	15
"Peebles,Maurice:MILS-3342-001-LEADERSHIP II"	Mean	4.1	3.9	4.0952	4.2857	4.0952	3.7619
	N	20	20	21	21	21	21
"Peng,Yuan:PSYC-3322-001-BRAIN AND BEHAVIOR"	Mean	4.3571	3.7857	3.9643	4.5357	4.4643	3.6786
	N	28	28	28	28	28	28
"Peng,Yuan:PSYC-5334-001-HUMAN PHYSIOLOGY"	Mean	4.5	3.875	4.5	4.75	4.875	4.5
	N	8	8	8	8	8	8
"Perera,Roshan:CHEM-4312-001-BIOCHEMISTRY II"	Mean	3.8519	3.3519	3.9091	3.8	4	3.5
	N	54	54	55	55	55	54
"Perera,Roshan:CHEM-5320-001-GENERAL BIOCHEMISTRY II"	Mean	3.7143	3.8571	3.8571	4	4.1429	3.7143
	N	7	7	7	7	7	7
