Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Hawley,Robert:SOCW-6324-001-RESEARCH AND EVALUATION II"	Mean	4.6	4.6	4.5333	4.8667	4.9286	4.8
	N	15	15	15	15	14	15
"Heddins,Brad:KINE-1400-001-INTRO TO EXERCISE SCIENCE"	Mean	4.5556	4.3333	4.1111	4.625	4.6667	4.5
	N	9	9	9	8	9	8
"Heddins,Brad:KINE-4315-001-FITNESS ASSESSMENT/PROGRAMMING"	Mean	4.5	4.4167	4.5833	4.75	4.5	4.5833
	N	12	12	12	12	12	12
"Heddins,Brad:KINE-4315-002-FITNESS ASSESSMENT/PROGRAMMING"	Mean	4.5455	4.4545	4.5455	4.9091	4.7273	4.6364
	N	11	11	11	11	11	11
"Hegar,Rebecca:SOCW-6305-008-INTEGRATIVE SEMINAR"	Mean	4.6	4.4667	4.8	4.7333	4.9286	4.7333
	N	15	15	15	15	14	15
"Hejduk,Philip:BIOL-2457-007-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.4545	4.1818	4.6364	4.6364	4.4545	4.4545
	N	11	11	11	11	11	11
"Henderson,Sandra:ACCT-4304-001-COST ACCOUNTING"	Mean	4.75	4.75	4.75	4.75	4.5	4.25
	N	4	4	4	4	4	4
"Henderson,Sandra:ACCT-5322-001-ACCT MGMT PLANNING & CONTROL"	Mean	4.2727	3.7273	4.0909	4.4545	4.5556	4
	N	11	11	11	11	9	11
"Henry,Timothy:BIOL-1433-001-INTRODUCTION TO BIOLOGY I"	Mean	3.75	3	4	4	4	3
	N	4	3	3	3	4	4
"Henry,Timothy:BIOL-1433-002-INTRODUCTION TO BIOLOGY I"	Mean	3.25	2.25	3.5	3.25	3.5	2
	N	4	4	4	4	4	4
"Henry,Timothy:BIOL-1434-001-INTRODUCTION TO BIOLOGY II"	Mean	4.5	4	4	4.5	4	4.5
	N	2	2	2	2	2	2
"Henry,Timothy:BIOL-1434-002-INTRODUCTION TO BIOLOGY II"	Mean	4.5	4.5	4.5	4.5	4	4
	N	2	2	2	2	2	2
"Henry,Timothy:BIOL-2458-001-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	3.9091	2.9091	3.6364	4.2727	4.3	3.3636
	N	11	11	11	11	10	11
"Henry,Timothy:BIOL-2458-002-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	1	1	1	4	4	1
	N	1	1	1	1	1	1
"Henry,Timothy:SCIE-5301-001-CONTEMPOR SCIE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Heo,Jongyun:CHEM-1441-001-GENERAL CHEMISTRY I"	Mean	3.1667	3	2.6	3.8	3.2	2.8333
	N	6	6	5	5	5	6
"Hermes,Charles:PHIL-3340-001-TOPICS IN APPLIED ETHICS"	Mean	5	4.6667	4.6667	4.6667	5	5
	N	3	3	3	3	3	3
"Hickerson,Jane:SOCW-6305-009-INTEGRATIVE SEMINAR"	Mean	3.8889	3.2222	3.6667	3.6667	3.7778	3.4444
	N	9	9	9	9	9	9
"Hintz,Gene:SOCW-6325-003-ADVANCED MICRO PRACTICE"	Mean	4	3.8571	4.2857	3.8571	3.7143	4.1429
	N	7	7	7	7	7	7
"Hissong,Rod:URPA-6326-001-PUBLIC BUDGETING & FINANCE"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4
	N	3	3	3	3	3	3
"Hoefer,Richard:SOCW-6301-001-ADVOCACY & SOCIAL POLICY"	Mean	4.5714	4.7143	4.8571	4.8571	4.5714	4.8571
	N	7	7	7	7	7	7
"Hoefer,Richard:SOCW-6305-004-INTEGRATIVE SEMINAR"	Mean	4	3.75	4.25	3.875	3.875	3.8571
	N	8	8	8	8	8	7
"Hopkins,Patricia:SPAN-1442-001-BEGINNING SPANISH II"	Mean	4	3.3333	4	4.3333	4	3.6667
	N	3	3	3	3	3	3
"Hopkins,Robert:BCOM-3360-003-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.25	3.75	4.5	4.6667	4.75	3.75
	N	4	4	4	3	4	4
"Horton,Brian:COMM-3303-001-COMMUNICATION GRAPHICS"	Mean	4.1111	4	4.3333	4.5556	4.3333	4.2222
	N	9	9	9	9	9	9
"Horton,Brian:COMM-4305-001-COMMUNICATION & SOCIETY"	Mean	2	2.5	2.5	1.5	4	4
	N	2	2	2	2	2	1
"Horton,Brian:CTEC-3320-001-VISUAL COMM & THE INTERNET"	Mean	4	3	3	2	4	2
	N	1	1	1	1	1	1
"Hoyos,Laureano:CE-4320-001-EARTH STRUCTURES DESIGN"	Mean	5	5	4.9167	5	4.6667	5
	N	12	12	12	12	12	12
"Huda,Muhammad:PHYS-1442-001-GENERAL COLLEGE PHYSICS II"	Mean	4.0909	3.2727	3.9091	4	4.1818	3.1
	N	11	11	11	11	11	10
"Huff,Brian:IE-5304-001-ADVANCED ENGR ECONOMY"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Huff,Brian:IE-5304-002-ADVANCED ENGR ECONOMY"	Mean	4.5	4.5	5	5	3.5	4
	N	2	2	1	2	2	2
"Huff,Brian:IE-5322-001-SIMULATION AND OPTIMIZATION"	Mean	4.875	4.8125	4.8125	4.6875	4.8125	4.75
	N	16	16	16	16	16	16
"Hughes,Sarah:CHEM-1451-103-CHEMISTRY FOR HEALTH SCIENCES"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Hunt,Andrew:GEOL-1135-001-GEOLOGICAL LABORATORY & GEOL-1425-011-EARTH SYSTEMS"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Hunt,Andrew:GEOL-1136-001-GEOLOGICAL LABORATORY II & GEOL-1426-011-EARTH HISTORY"	Mean	4.6667	4.6667	4.6667	5	5	4.3333
	N	3	3	3	3	3	3
"Hunt,Andrew:GEOL-1425-001-EARTH SYSTEMS"	Mean	4.4	3.2	3.6	4.6	4.2	4
	N	5	5	5	5	5	5
"Hunt,Andrew:GEOL-1426-001-EARTH HISTORY"	Mean	4.2	4	4.2	4.4	4.3333	4.2667
	N	15	15	15	15	15	15
"Hunt,Andrew:GEOL-3387-003-FIELD GEOLOGY I"	Mean	4	5	5	4	5	5
	N	1	1	1	1	1	1
"Hunt,Andrew:GEOL-3388-003-FIELD GEOLOGY II"	Mean	4	5	5	4	4	5
	N	1	1	1	1	1	1
"Hunt,Graham:MUSI-1300-001-MUSIC APPRECIATION"	Mean	4.2222	4.2222	4.2222	4.3333	4.125	4.3333
	N	9	9	9	9	8	9
"Hyle,Adrienne:EDAD-6390-013-SEL TOP K-16 ED LDRSHP RES"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Hyle,Adrienne:EDAD-6392-002-SEL TOP K-16 ED POLICY RES"	Mean	5	5	5	5	5	5
	N	6	6	6	6	6	6
"Idziak,Sandra:COMS-2302-002-PROFESSIONAL TECHNICAL COMM"	Mean	3	2.25	2.25	3	2.6667	1.75
	N	4	4	4	4	3	4
"Idziak,Sandra:COMS-3320-001-INTERVIEW PRINCIPLES"	Mean	3.6667	2.3333	3.6667	4.3333	2.3333	2.6667
	N	3	3	3	3	3	3
"Ikeda,Zenas:ART-3354-001-SIGN AND SYMBOL"	Mean	3.8889	4.5556	4.2222	4.7778	4.5556	4.625
	N	9	9	9	9	9	8
"Imrhan,Sheik:IE-3301-001-ENGINEERING PROBABILITY"	Mean	4.0909	3.8182	4.2	4.0909	4.4	3.8182
	N	11	11	10	11	10	11
"Imrhan,Sheik:IE-4310-001-INDUSTRIAL & PRODUCT SAFETY"	Mean	3.3333	2.6667	3.6667	3.3333	3.3333	3
	N	3	3	3	3	3	2
"Imrhan,Sheik:IE-5314-001-SAFETY ENGINEERING"	Mean	4.1	3.8	4.2	4	4.2	4
	N	10	10	10	10	10	10
"Imrhan,Sheik:IE-5314-002-SAFETY ENGINEERING"	Mean	3.6	3.8	4	4	4.4	3.6
	N	5	5	5	5	5	5
"Imrhan,Sheik:IE-5318-001-APPLIED REGRESSION ANALYSIS"	Mean	3.2857	3	3.4286	3.7143	3.5714	3.1429
	N	7	7	7	7	7	7
"Imrhan,Sheik:IE-5318-002-APPLIED REGRESSION ANALYSIS"	Mean	2.5	2.5	2.5	3	2.5	2
	N	2	2	2	2	2	2
"Ingram,Penelope:ENGL-5330-001-TOPICS IN CRITICISM"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Isaacks,Linda:EDAD-6378-011-CURRICULUM/PROGRAM ASSESSMENT"	Mean	5	4.3333	4.6667	4.3333	4	4.6667
	N	3	3	3	3	3	3
"Isbell,Steve:REAE-3325-001-REAL ESTATE FUNDAMENTALS"	Mean	4.5	4.6667	4.8333	4.8333	4.6667	4.6667
	N	6	6	6	6	6	6
"Ishii,Timothy:MUSI-1300-001-MUSIC APPRECIATION"	Mean	4.5	4.5	4.6667	4.6667	4.75	4.3333
	N	6	6	6	6	4	6
"Jackson,Christopher:PHYS-5391-002-SPECIAL TOPICS IN PHYSICS"	Mean	4.875	4.25	4.875	5	5	4.875
	N	8	8	8	8	8	8
"Jang,Chyng-Yang:COMM-3300-001-COMMUNICATION TECHNOLOGY"	Mean	4.4286	4.1429	4	4	4.6667	4.4286
	N	7	7	7	7	6	7
"Jang,Chyng-Yang:CTEC-3350-001-WEB SITE COMMUNICATION"	Mean	4	4.5	4.5	5	5	5
	N	2	2	2	2	2	2
"Jangam,Diwash:BIOL-1442-002-STRUC & FUNC OF ORGANISMS"	Mean	3.9	3.9	4.1	3.9	4.1	3.8
	N	10	10	10	10	10	10
"Jennings,Leslie:FS-NURS-1300-600-INTRO TO PROFESSIONAL NURSING"	Mean	5	4.75	4.75	4.5	4.6667	4.5
	N	4	4	4	4	3	4
"Jensen-Campbell,Lauri:PSYC-3310-001-DEVELOPMENTAL PSYCHOLOGY"	Mean	4.7333	4.6	4.4	4.6	4.4	4.6667
	N	15	15	15	15	15	15
"Jeong,Seokjin:CRCJ-3340-001-CRIMINAL JUSTICE STATISTICS"	Mean	3	3	3	3	4	3
	N	1	1	1	1	1	1
"Jeong,Seokjin:CRCJ-5310-001-STATISTICS & RESEARCH CRIM JUS"	Mean	4.5	3	4.5	4.5	5	3.5
	N	2	2	2	2	2	2
"Jiang,Jiechao:MSE-5390-002-SPEC TOPICS MSE"	Mean	3.8	4.4	4.2	4	4.4	4
	N	5	5	5	5	5	5
"Jitkajornwanich,Kulsawasd:CSE-3330-001 & CSE-5330-001-DATABASE SYSTEMS & FILE STRUCTURES"	Mean	4.2222	4.1111	4.4444	4.1111	4.3333	4.1111
	N	18	18	18	18	18	18
"Joglekar,Prasad:PHYS-1442-002-GENERAL COLLEGE PHYSICS II"	Mean	4.6667	4.3333	4.3333	4.6667	5	4.6667
	N	3	3	3	3	2	3
"Johnson Parker,Yolanda:EDUC-5397-005-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Johnson-Winters,Kayunta:CHEM-4312-001-BIOCHEMISTRY II"	Mean	4.8333	4.6667	4.5	4.3333	4.3333	4.6667
	N	6	6	6	6	6	6
"Johnson,Ernest:EDAD-5330-001-LEAD IN INSTRUC"	Mean	4.75	5	5	5	5	5
	N	4	4	4	4	4	3
"Johnson,Ernest:EDAD-5360-007-Leadership Theory"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Johnson,Ernest:EDAD-5365-001-Leading Learning Organizations"	Mean	4.6667	4.3333	4.6667	4.6667	4.6667	4
	N	3	3	3	3	3	3
"Johnson,Ernest:EDAD-5380-007-DIVERSITY AND EQUITY"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Johnson,Ernest:EDAD-5381-011-POLITICAL LEGAL ASPECTS EDUC"	Mean	4.6111	4.2222	4.5556	4.4706	4.2941	4.4444
	N	18	18	18	17	17	18
"Johnson,Gerald:MAED-5356-005-MEASUREMENT"	Mean	4.5128	4.1053	4.3947	4.359	4.1765	4.1842
	N	39	38	38	39	34	38
"Johnson,James:REAE-5303-60-SUSTAINABLE POLICIES-BUILT ENV"	Mean	3.3333	4.3333	4.6667	3.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Johnson,Pamela:SOCW-5304-001-GENERALIST MICRO PRACTICE"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Johnson,Pamela:SOCW-6361-001-STRESS CRISIS AND COPING"	Mean	4.1	3.8	4.5	4	4.6	3.9
	N	10	10	10	10	10	10
"Jones,Julie:ENGL-2338-501-TECHNICAL WRITING"	Mean	4.5455	4.4545	4.5	4.5909	4.2727	4.3333
	N	22	22	22	22	22	21
"Jones,Kelle:HCAD-5310-040-HEALTH CARE LAW"	Mean	4.1875	4.375	4.625	4.25	4.25	4.3125
	N	16	16	16	16	16	16
"Jordan,Ray:INTS-4391-002-INTERDISCIPLINARY CAPSTONE"	Mean	4.8333	5	5	5	5	5
	N	6	6	6	6	6	6
"Jorgensen,Theresa:MATH-5392-003-SELECTED TOPICS IN MATHEMATICS"	Mean	5	5	5	4.8	5	5
	N	5	5	5	5	5	5
"Kang,Taeuk:OPMA-3306-001-OPERATIONS MANAGEMENT"	Mean	3	1	3	3.5	4	1
	N	2	2	2	2	2	2
"Karrer,Bonnie:SPAN-1441-002-BEGINNING SPANISH I"	Mean	4.5	2	3.5	4	4	
	N	2	2	2	2	2	
"Kay,Libby:SOCW-6358-002-SOCIAL WORK SUPERVISION"	Mean	3.3	3.5	3.1	2.5556	2.3	2.4
	N	10	10	10	9	10	10
"Keenan,Danyelle:MANA-3320-001-PER/HUM RES MGT"	Mean	4.8333	4.6667	4.8333	5	4.8333	5
	N	6	6	6	6	6	6
"Kelly,Kathy:ECON-2306-001-PRINCIPLES OF MICROECONOMICS"	Mean	4	3.8	3.8	4	4	3.8
	N	5	5	5	5	4	5
"Kenarangui,Rasool:EE-2320-001-CIRCUIT ANALYSIS & EE-2440-001-CIRCUIT ANALYSIS WITH LAB"	Mean	3.5	3.5	4.5	4.25	4.25	3.5
	N	4	4	4	4	4	4
"Khan,Md:BIOL-3444-003-GENERAL MICROBIOLOGY"	Mean	4.6667	4	4.6667	4	4.6667	4
	N	3	3	3	3	3	3
"Khankarli,Ghassan:CE-4306-001-INFRASTRUCTURE ASSET MGMT"	Mean	3.8	3.6	4.1	4.2	4	3.8
	N	10	10	10	10	8	10
"Khankarli,Ghassan:CE-5389-001-INFRASTRUCTURE ASSET MGMT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Khankarli,Ghassan:CE-5389-002-INFRASTRUCTURE ASSET MGMT"	Mean	4	4	4.6	4.4	4.6	4.4
	N	5	5	5	5	5	5
"Ki,Jeong:MAE-3318-001-KINEMATICS & DYNAMICS MACHINES"	Mean	5	4.8889	4.6667	5	4.8889	4.8889
	N	9	9	9	9	9	9
"Kim,Choong-Un:MSE-5141-001-TRANS ELECTRON MICROSCOPY LAB"	Mean	5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Kim,Choong-Un:MSE-5341-001-TRAN ELEC MICRSCPY MATL SCI"	Mean	4.25	4	4.5	4.5	4.5	4
	N	4	4	4	4	4	4
"Kim,Dongchul:CSE-1311-001-INTRO PROGRAMMING ENGRS & SCI"	Mean	4	3.875	4.5	3.75	4.375	4.125
	N	8	8	8	8	8	8
"Kim,Yi:SOCW-5322-004-RESEARCH AND EVALUATION I"	Mean	3.4	3.9	3.7	3.5556	3.7	3.4
	N	10	10	10	9	10	10
"King,Jeffrey:ENGL-2319-002-BRITISH LITERATURE"	Mean	4.6	4	4.4	4.8	4.75	4.2
	N	5	5	5	5	4	5
"Kongevick,Joseph:THEA-3315-001-THEATRICAL MAKEUP"	Mean	4.5	4.75	4.75	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Korzeniowski,Andrzej:MATH-5392-002-SELECTED TOPICS IN MATH"	Mean	4.3333	4.3333	4.1667	4.3333	4.3333	4.3333
	N	6	6	6	6	6	6
"Kotak,Malini Sharadkumar:BIOL-2458-009-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.5	4.5	4.5	4.5	4	5
	N	2	2	2	2	2	1
"Koymen,Ali:PHYS-1444-001-GENERAL TECHNICAL PHYSICS II"	Mean	4.6667	4.3333	4.3333	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Kranjac,Ashley:SOCI-1311-001-INTRO TO SOCIO"	Mean	5	4.8333	5	4.6667	4.8235	4.9412
	N	18	18	18	18	17	17
"Krawietz,Paul:KINE-5220-001-PREVENTATIVE AND ACUTE CARE TECHNIQUES IN ATHLETIC TRAINING"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	6	6	6	6	6	6
"Krawietz,Paul:KINE-5220-002-Prev Acute Care Tech"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Krawietz,Paul:KINE-5420-001-CONCEPTS IN ATHLETIC TRAINING"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Kribs Zaleta,Christopher:MATH-5377-001-ALGEBRAIC THINKING K-8 MATH"	Mean	4.8	4.6	4.9	4.9	5	4.6
	N	10	10	10	10	10	10
"Krishnan,Shreyas:BIOL-2457-010-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	1	1	1	4	2	1
	N	1	1	1	1	1	1
"Kroll,Martina:CHEM-1441-001-GENERAL CHEMISTRY I"	Mean	4.4	4	4.6	4.4	4.2	4
	N	5	5	5	5	5	5
"Kroll,Peter:CHEM-1442-001-GENERAL CHEMISTRY II"	Mean	3.1429	2.5714	3	4.4286	3.8333	2.1429
	N	7	7	7	7	6	7
"Kunkel,Jerald:ARCH-4321-001 & ARCH-5362-001-STRUCTURAL SYSTEMS BLDGS (2135-11W-0045)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Kyle,Donald:HIST-2301-001-HISTORY OF CIVILIZATION"	Mean	4.75	3.75	4.5	4.75	4.75	3.75
	N	4	4	4	4	4	4
"Lacefield,Gary:BCOM-3360-001-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.9091	4.9091	4.7273	4.8182	4.1818	4.9091
	N	11	11	11	11	11	11
"Lacefield,Gary:BCOM-3360-002-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.6364	4.3636	4.2727	4.6364	4.6	4.9091
	N	11	11	11	11	10	11
"Lacy,Scott:MATH-1426-100-CALCULUS I"	Mean	4.5	4	4.5	4	5	4
	N	2	2	2	2	2	2
"Landry,Michael:NURS-5342-400-MNGMNT OF NURSING OPERATIONS"	Mean	3.5556	4	4.5556	3.8889	4.25	4.375
	N	9	9	9	9	8	8
"Larson Frink,Lillian:CHEM-1465-102-CHEMISTRY FOR ENGINEERS"	Mean	4.75	4.5	5	5	4.75	5
	N	4	4	4	4	4	4
"Lawrence,Jennifer:HIST-3364-001-TEX SINCE 1845"	Mean	5		5	5	5	5
	N	1		1	1	1	1
"Le,Cuong:CHEM-1442-104-GENERAL CHEMISTRY II"	Mean	3.9091	3.7273	4.2727	4.2727	4.2727	4
	N	11	11	11	11	11	11
"Lee,Joo:ELED-5309-001-TRENDS & ISSUES IN ECED"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Lee,Megan:PHYS-1442-003-GENERAL COLLEGE PHYSICS II"	Mean	5	4.5	5	4.5	3	5
	N	2	2	2	2	2	2
"Leffingwell,R:EDUC-5329-001-CLASSROOM MGMNT AND DISCIPLINE"	Mean	4.4	4.4	4.6	4.6	4.8	4.4
	N	5	5	5	5	5	5
"Lehmann,Peter:SOCW-6343-001-Intimate Partner Violence"	Mean	4.8333	4.8333	5	5	4.5	5
	N	6	6	5	6	4	6
"Leonard-Whittington,Deir:BIOL-1441-004-CELL MOL BIOL"	Mean	3.5	4	4.5	4	4.5	4
	N	2	2	2	2	2	2
"Levine,David:CSE-5306-001-OPERATING SYSTEMS II"	Mean	3.8	4	4.2	4.2	4.4	4
	N	5	5	5	5	5	5
"Levine,David:CSE-6331-001-ADV TOPICS IN DATABASE SYSTEMS"	Mean	4.4	4.3333	4.3333	4.5	4.6667	4.3333
	N	5	6	6	6	6	6
"Levine,David:CSE-6331-002-ADV TOPICS IN DATABASE SYSTEMS"	Mean	3	4	4	3.5	4	3.5
	N	2	2	2	2	1	2
"Liao,Guojun:MATH-2326-001-CALCULUS III"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Licea Salazar,Juan:MATH-1322-001-PRECALCULUS I"	Mean	4.25	4.25	4.25	4.5	5	4.5
	N	4	4	4	4	4	4
"Liggett,Ronnie:ECON-2305-001-PRIN MACRO ECO"	Mean	4.4	4.2	4.4	4.6	4.5	4.2
	N	5	5	5	5	2	5
"Liggett,Ronnie:ECON-3302-001-THE ECONOMICS OF CRIME"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Liguez,Lance:BCMN-2357-001-RADIO PRODUCTION I"	Mean	5	4.6	5	4.8333	4.8	5
	N	6	5	6	6	5	6
"Liles,Donald:IE-3312-001-ECONOMICS FOR ENGINEERS"	Mean	2.8	2.2	2.4	3	3.2	2.2
	N	5	5	5	5	5	5
"Lima,Benjamin:ART-4396-001-SPEC STUDY ART HISTORY & ART-5360-001-TOPS IN HISTORY ART & DESIGN"	Mean	4.8	4.4	4.6	4.8	4.8	4.6
	N	5	5	5	5	5	5
"Lindley,Marie:NURS-5326-400-Adv Assess for Nurse Educators"	Mean	4	4	4	3	4	4
	N	1	1	1	1	1	1
"Lisauckis,Raymond:SOCW-3304-001-SW PRACTIC II"	Mean	5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Little,Thomas:POLS-2312-003-STATE & LOCAL GOVT"	Mean	3.6667	3	4	4.1667	3.3333	3
	N	6	6	6	6	6	6
"Little,Thomas:POLS-2312-700-STATE & LOCAL GOVT"	Mean	4.4615	3.9231	4.08	4.1923	3.95	4.08
	N	26	26	25	26	20	25
"Liu,Hongsheng:BIOL-1441-003-CELL MOL BIOL"	Mean	1	2	2	1	5	1
	N	1	1	1	1	1	1
"Liu,Yue:MATH-2425-100-CALCULUS II"	Mean	3	3	3	5	5	3
	N	1	1	1	1	1	1
"Liu,Yueming:MATH-1426-200-CALCULUS I"	Mean	3.3333	1.3333	2	2.6667	4	1.6667
	N	3	3	3	3	3	3
"Lockwood,Larry:FINA-6314-001-ADV RESEARCH IN FINANCE II"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Long,Dwight:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	4.3846	4.1538	4.4615	4.5385	4.9231	4.6923
	N	13	13	13	13	13	13
"Long,Dwight:MANA-4322-002-ORGANIZATIONAL STRATEGY"	Mean	5	4.6	4.8	5	5	4.8
	N	5	5	5	5	5	5
"Long,Melinda:COMS-2302-001-PROFESSIONAL TECHNICAL COMM"	Mean	4.8333	5	5	4.8333	4.5	4.6667
	N	6	6	6	6	6	6
"Longoria,Leonel:SPAN-2314-001-INTERMEDIATE SPANISH II"	Mean	5	4.75	5	5	5	4.75
	N	4	4	4	4	4	4
"Looney,Carl:MATH-1316-001-MATH ECON & BUS ANLYS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Lopez,Nicolette:PSYC-1315-001-INTRO TO PSYCHOLOGY"	Mean	4.5714	4	4.1429	4.8571	4.6667	4.2857
	N	7	7	7	7	6	7
"Loredo,Leticia:CHEM-2182-003-ORGANIC CHEMISTRY II LAB"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Lovely,Carl:CHEM-2182-001-ORGANIC CHEMISTRY II LAB"	Mean	4.5385	4.4615	4.6923	4.7692	4.3333	4.4615
	N	13	13	13	13	12	13
"Lovely,Carl:CHEM-2321-001-ORGANIC CHEMISTRY"	Mean	4.1667	4	4.1667	4.5	4.2	4
	N	6	6	6	6	5	6
"Machuca,Alicia:MATH-3319-001-DIFF EQUATIONS/LINEAR ALGEBRA"	Mean	4.2857	4	4.4286	4.2857	4.5714	4.2857
	N	7	7	7	7	7	7
"Mack,David:MANA-5350-020-EFFECTIVE LEADERSHIP"	Mean	5	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Mack,David:MANA-5350-030-EFFECTIVE LEADERSHIP"	Mean	4	3	3.5	4	3	3.5
	N	2	2	2	2	2	2
"Mackey,Doris:NURS-3481-600-MENTAL HEALTH NURSING"	Mean	4.0909	3.8485	3.9697	4.0938	4.0625	3.9091
	N	33	33	33	32	32	33
"Madu,Christian:CHEM-2322-001-ORGANIC CHEMISTRY"	Mean	4.1667	3.5833	3.6667	4.3333	3.9091	3.8333
	N	12	12	12	12	11	12
"Mahapatra,Radha:INSY-3304-001-DATABASE MANAGEMENT SYSTEMS & INSY-5335-001-APPLIED DATABASE MANAGEMENT"	Mean	3.8333	2.8333	4.1667	3.6667	4.1667	3.6667
	N	6	6	6	6	6	6
"Mahapatra,Radha:INSY-5350-040-HEALTH CARE INFO SYSTEMS"	Mean	4	2.8	3.6	3.6	3.75	2.4
	N	5	5	5	5	4	5
"Maher,Dennis:THEA-1342-001-THEATRE & FILM APPRECIATION"	Mean	4.75	5	4.75	5	4.5	5
	N	4	4	4	4	4	4
"Maleku,Arati:SOCW-3306-001-SW PRACTIC III"	Mean	4.1429	4.1429	4.2857	4.5714	4.2857	4
	N	7	7	7	7	7	7
"Maleku,Arati:SOCW-4252-001-SW FIELD II SEM"	Mean	4.3333	4.5556	4.5556	4.6667	4.7778	4.2222
	N	9	9	9	9	9	9
"Mandal,Subhrangsu:CHEM-2181-001-ORGANIC CHEMISTRY I LAB"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Mandal,Subhrangsu:CHEM-2321-001-ORGANIC CHEMISTRY"	Mean	4.25	4.5	4.25	4	4.25	4.25
	N	4	4	4	4	4	4
"Mandal,Subhrangsu:CHEM-4311-001-BIOCHEMISTRY I"	Mean	4.75	4.5	4.5	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Manegold,Jenny:MANA-3318-001-MANA ORG BEHAV"	Mean	5	4.2	4.5	5	5	4.6
	N	5	5	4	5	5	5
"Mann,Martha:PSYC-3310-700-DEVELOPMENTAL PSYCHOLOGY"	Mean	4.5882	4.4118	4.4706	4.5882	4.625	4.5882
	N	17	17	17	17	16	17
"Manry,Michael:EE-3317-001-LINEAR SYSTEMS & EE-3417-001-CONTINUOUS SIGNALS AND SYSTEMS (2135-11W-0010)"	Mean	3.6667	3	4	4	4.5	3
	N	3	3	3	3	2	3
"Manry,Michael:EE-3417-101-CONTINUOUS SIGNALS AND SYSTEMS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Manry,Michael:EE-5357-001-STATISTIC PATTERN RECOGNITION"	Mean	3	3.5	3.5	4	3	3.5
	N	2	2	2	2	2	2
"Manry,Michael:EE-5357-002-STATISTIC PATTERN RECOGNITION"	Mean	3.75	2.75	3	3.25	4.3333	3
	N	4	4	4	4	3	4
"Marcos,Yoseph:CHEM-1465-001-CHEMISTRY FOR ENGINEERS"	Mean	3.6	3.4	4.4	4	4.5	3.2
	N	5	5	5	5	4	5
"Mariboho,Rachael:ENGL-2309-001-WORLD LIT"	Mean	4.25	4.25	4.625	4.5	4.4286	4.375
	N	8	8	8	8	7	8
"Mark,Richard:ACCT-3312-001-FINANCIAL ACCOUNTING II"	Mean	3.8	3.4	3.8	4	3.75	3.2
	N	5	5	5	5	4	5
"Mark,Richard:ACCT-5312-001-FINANCIAL ACCOUNTING II"	Mean	4.4286	4.5714	4.8571	4.7143	4.4286	4.7143
	N	7	7	7	7	7	7
