Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Bechtel,Rudy:ADVT-3305-001-ADVERTISING MEDIA"	Mean	2.5	2.5	4.5	2.5	2.5	2.5
	N	2	2	2	2	2	2
"Becker,Eric:CSE-3392-101-SPECIAL TOPICS"	Mean	5	5	4.6667	5	5	5
	N	2	2	3	2	3	3
"Behan,Deborah:NURS-3321-600-NURSING RESEARCH"	Mean	3.0455	2.5455	3.2273	3.3182	3.381	2.7727
	N	22	22	22	22	21	22
"Behan,Deborah:NURS-4325-500-RN-BSN NURSING RESEARCH"	Mean	2.85	2.3902	3.122	3.1951	3.125	2.4167
	N	40	41	41	41	40	36
"Behan,Deborah:NURS-4325-501-RN-BSN NURSING RESEARCH"	Mean	2.9444	2.6389	3.1143	3.4571	3.4706	2.5429
	N	36	36	35	35	34	35
"Behan,Deborah:NURS-5301-001-RESEARCH IN NURSING"	Mean	4.75	4.25	4.75	4.75	4.75	4.5
	N	4	4	4	4	4	4
"Behan,Deborah:NURS-5301-002-RESEARCH IN NURSING"	Mean	4.3333	4	4	4	3.6667	3.3333
	N	3	3	3	3	3	3
"Bhan,Arunoday:CHEM-2182-002-ORGANIC CHEMISTRY II LAB"	Mean	3.3333	2.6667	3	2.6667	3.3333	2.3333
	N	3	3	3	3	3	3
"Bhawal,Ruchika:CHEM-1451-102-CHEMISTRY FOR HEALTH SCIENCES"	Mean	3	3	4	5	4	3
	N	1	1	1	1	1	1
"Bing,Robert:CRCJ-2334-002-INTRO CRJU SYS"	Mean	4.6	4.6	4.8	4.8	4.8	4.75
	N	5	5	5	5	5	4
"Bing,Robert:CRCJ-3380-001-RACE CRIME AND JUSTICE"	Mean	4.3333	4	4.6667	3.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Bing,Robert:CRCJ-4333-001-INSTIT CORRECT"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Bishop,Linda:COMS-2302-002-PROFESSIONAL TECHNICAL COMM"	Mean	3.9286	3.8571	4	4.2857	4.2143	3.1429
	N	14	14	14	14	14	14
"Bitenc,Sandra:ACCT-4325-001-GOVERNMENTAL ACCOUNTING"	Mean	4	3.3333	4.3333	3	4	3.3333
	N	3	3	3	3	3	3
"Bitenc,Sandra:ACCT-5320-001-GOVT & NONPROFIT ACCOUNTING"	Mean	4.5	3.5	3.5	4	4.3333	3.5
	N	4	4	4	4	3	4
"Black,Beverly:SOCW-6305-006-INTEGRATIVE SEMINAR"	Mean	3.25	2.25	4.25	3.75	4	3.75
	N	4	4	4	4	4	4
"Blakeney,Amy:SOCW-6326-001-DIRECT PRACT WITH CHILD & FAM"	Mean	4.5	4.375	4.625	4.375	4.75	4.5
	N	8	8	8	8	8	8
"Bokka,Apparao:CHEM-2181-001-ORGANIC CHEMISTRY I LAB"	Mean	4	4	4	5	5	4
	N	1	1	1	1	1	1
"Bold,Lashaunn:SOCW-2311-002-INTRO SOC WORK"	Mean	4.4286	4.2857	4.1429	4.4286	4.2857	4.4286
	N	7	7	7	7	7	7
"Bolton,Kristin:SOCW-5322-001-RESEARCH AND EVALUATION I"	Mean	4	3.2308	3.6923	4.0769	4.3077	3.3846
	N	13	13	13	13	13	13
"Bolton,Kristin:SOCW-5322-002-RESEARCH AND EVALUATION I"	Mean	4.2143	3.0714	3.4286	4.0714	4.2857	3.5714
	N	14	14	14	14	14	14
"Bolton,Kristin:SOCW-6324-004-RESEARCH AND EVALUATION II"	Mean	4.1818	3.7273	3.5455	4.1818	4.4545	3.8182
	N	11	11	11	11	11	11
"Bower,Bruce:SOCW-6325-002-ADVANCED MICRO PRACTICE"	Mean	3.6111	4.0556	4	4.5556	3.9375	3.7647
	N	18	18	18	18	16	17
"Bowers,Pamela:SOCW-6324-002-RESEARCH AND EVALUATION II"	Mean	4.7647	4.7059	4.9412	4.8235	4.9412	4.8824
	N	17	17	17	17	17	17
"Bowman,Theron:CRCJ-5353-001-CJ ORG THEORY & MGMT THOUGHT"	Mean	4.1667	3.5	4	4.3333	4.1667	3.5
	N	6	6	6	6	6	6
"Boyd,Jeanean:NURS-3645-500-RN-BSN PROFESSIONAL NURSING"	Mean	4.6667	4.6	4.6111	4.6286	4.3333	4.5588
	N	36	35	36	35	30	34
"Boyd,Jeanean:NURS-3645-501-RN-BSN PROFESSIONAL NURSING"	Mean	4.7308	4.6471	4.7692	4.7647	4.449	4.5962
	N	52	51	52	51	49	52
"Boyea,Brent:POLS-5392-001-FEDERAL POLICYMAKING"	Mean	4	4	4	4	5	4
	N	1	1	1	1	1	1
"Braun,Eric:MAE-2381-001-EXPERIMENTAL METHODS & MEASURE"	Mean	4.6667	4.5333	4.6	4.8667	4.7143	4.6667
	N	15	15	15	15	14	15
"Braun,Eric:MAE-2381-002-EXPERIMENTAL METHODS & MEASURE"	Mean	4.25	4	4	4	4.2857	4.125
	N	8	7	8	8	7	8
"Braun,Eric:MAE-2381-003-EXPERIMENTAL METHODS & MEASURE"	Mean	4.5	4.6	4.8333	4.8333	4.8	4.8333
	N	6	5	6	6	5	6
"Breuer,Kimberly:HIST-1312-001-HISTORY OF U.S."	Mean	3.75	3.75	4.125	4.1667	3.75	3.4286
	N	8	8	8	6	8	7
"Breuer,Kimberly:HIST-1312-700 & 900 HISTORY OF THE UNITED STATES"	Mean	3.7667	3.5333	3.8667	3.8667	3.6154	3.1
	N	30	30	30	30	26	30
"Brezeale,Darin:CSE-1320-001-INTERMEDIATE PROGRAMMING"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Briggs,Elten:MARK-4303-001-RETAIL AND SERVICE MARKETING"	Mean	4.8333	4.6667	4.8333	4.6667	4.6	4.5
	N	6	6	6	6	5	6
"Brittain,Michael:ENGL-2329-001-AMERICAN LITERATURE"	Mean	4.8	4.8	4.7	4.8	5	5
	N	10	10	10	10	10	10
"Brooks,Gary:MANA-3325-001-ENTREPRENEURSHIP AND VENTURE MANAGEMENT"	Mean	4	3.8889	4.4444	4.6667	4	3.8889
	N	9	9	9	9	8	9
"Brown,Amber:EDUC-5394-001-UNDERSTANDING CLASSROOM RSRCH"	Mean	4	3.5	4.125	3.75	4.2857	3.5
	N	8	8	8	8	7	8
"Brown,Lee:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	4.6667	4.4444	4.5556	4.6667	4.625	4.4444
	N	9	9	9	9	8	9
"Brownell,Gracie:SOCW-5301-001-HUMAN BEHAV & SOCIAL ENV I"	Mean	4.125	4.625	4.75	4.375	4.625	4.625
	N	8	8	8	8	8	8
"Brownell,Gracie:SOCW-6303-001-POVERTY INEQUALITY & SOC PLCY"	Mean	3.9524	4.1	4.4286	4.0952	4.381	4.1905
	N	21	20	21	21	21	21
"Bryant,Mercy:URPA-5350-001-INTRO TO PUBLIC ADMINISTRATION"	Mean	4.5	4.5	5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Bryson,Sherry:SOCW-6380-001-TRTMNT OF ADDICTIVE BEHAVIORS"	Mean	4.25	4.25	4.5	4.25	4.5	4.5
	N	4	4	4	4	4	4
"Bui,Brian:PHYS-1444-002-GENERAL TECHNICAL PHYSICS II"	Mean	4.5	5	4.5	4.5	4.5	4.5
	N	2	1	2	2	2	2
"Burdick,Constance:SOCW-6317-001-DIRECT PRACTICE IN HEALTH CARE"	Mean	2.2857	2.25	2.875	2.1429	3.75	2.25
	N	7	8	8	7	8	8
"Burke,Patricia:SOCW-3302-001-HUM BEHAV II"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Butler,Randall:CRCJ-3380-002-RACE CRIME AND JUSTICE"	Mean	3.1111	3.625	3.3333	2.8889	2.5556	2.625
	N	9	8	9	9	9	8
"Butler,Yvonne:SOCW-5310-002/003-MICRO-MACRO PRACT FIELD SEM"	Mean	2.8	2.4	3	2.5	2.2	2.1
	N	10	10	10	10	10	10
"Butler,Yvonne:SOCW-6358-001-SOCIAL WORK SUPERVISION"	Mean	3.8889	4	4.2222	4	4	3.6667
	N	9	9	9	9	7	9
